book,chapter,verse,wlc,kjv,goi,decision,reason,edited
ISA,37,19,וְנָתֹ֥ן אֶת אֱלֹהֵיהֶ֖ם בָּאֵ֑שׁ כִּי֩ לֹ֨א אֱלֹהִ֜ים הֵ֗מָּה כִּ֣י אִם מַעֲשֵׂ֧ה יְדֵֽי אָדָ֛ם עֵ֥ץ וָאֶ֖בֶן וַֽיְאַבְּדֽוּם,"And have cast their gods into the fire: for they [were] no gods, but the work of men’s hands, wood and stone: therefore they have destroyed them.","And they shall put their gods into the fire, for they are not gods, but the work of human hands, wood and stone, and they shall destroy them.",no_edit,"False positive, duplicate of 2Ki 19:18: pagan idols described in 3rd person ('they were no gods'), not YHWH, no vocative. Matched via substring 'o god' in 'no gods'.",
ISA,38,16,אֲדֹנָ֖י עֲלֵיהֶ֣ם יִֽחְי֑וּ וּלְכָל בָּהֶן֙ חַיֵּ֣י רוּחִ֔י וְתַחֲלִימֵ֖נִי וְהַחֲיֵֽנִי,"O Lord, by these [things men] live, and in all these [things is] the life of my spirit: so wilt thou recover me, and make me to live.","(my) Lord upon them shall live, and in all of them the life of my spirit; and revive me and quicken me.",edit,"Genuine vocative (Hezekiah's song, 'O Lord, by these things men live'). GOI has both a literal '(my)' artifact AND a syntax break — it reads 'Lord upon them shall live' as if 'Lord' were the subject of 'shall live', rather than a vocative separate from the statement about 'these things'.","My Lord, by these things people live, and in all of them is the life of my spirit; so revive me and make me live."
ISA,44,8,אַֽל תִּפְחֲדוּ֙ וְאַל תִּרְה֔וּ הֲלֹ֥א מֵאָ֛ז הִשְׁמַעְתִּ֥יךָ וְהִגַּ֖דְתִּי וְאַתֶּ֣ם עֵדָ֑י הֲיֵ֤שׁ אֱל֨וֹהַּ֙ מִבַּלְעָדַ֔י וְאֵ֥ין צ֖וּר בַּל יָדָֽעְתִּי,"Fear ye not, neither be afraid: have not I told thee from that time, and have declared [it]? ye [are] even my witnesses. Is there a God beside me? yea, [there is] no God; I know not [any].",Do not fear and do not be afraid. Have I not long ago made you hear and declared it? And you are my witness. Is there a God besides me? And there is no rock; I know none.,no_edit,"False positive: 'Is there a God besides me?' is YHWH speaking about himself in the 1st person, not an address to him. Matched via substring 'o God' in 'no God'.",
ISA,45,14,כֹּ֣ה אָמַ֣ר יְהוָ֗ה יְגִ֨יעַ מִצְרַ֥יִם וּֽסְחַר כּוּשׁ֮ וּסְבָאִים֮ אַנְשֵׁ֣י מִדָּה֒ עָלַ֤יִךְ יַעֲבֹ֨רוּ֙ וְלָ֣ךְ יִֽהְי֔וּ אַחֲרַ֣יִךְ יֵלֵ֔כוּ בַּזִּקִּ֖ים יַעֲבֹ֑רוּ וְאֵלַ֤יִךְ יִֽשְׁתַּחֲוּוּ֙ אֵלַ֣יִךְ יִתְפַּלָּ֔לוּ אַ֣ךְ בָּ֥ךְ אֵ֛ל וְאֵ֥ין ע֖וֹד אֶ֥פֶס אֱלֹהִֽים,"Thus saith the LORD, The labour of Egypt, and merchandise of Ethiopia and of the Sabeans, men of stature, shall come over unto thee, and they shall be thine: they shall come after thee; in chains they shall come over, and they shall fall down unto thee, they shall make supplication unto thee, [saying], Surely God [is] in thee; and [there is] none else, [there is] no God.","Thus says the LORD: The labour of Egypt and the merchandise of Cush and the Sabaeans, men of stature, shall come over to you and shall be yours; after you they shall pass; in chains they shall come over; they shall fall down before you, they shall make supplication to you: Only in you is God, and there is no other, no El besides.",no_edit,"False positive: 'Surely God is in thee ... there is no God' is a 3rd-person statement by foreign nations about God, not direct address. Matched via substring 'o God' in 'no God'.",
ISA,45,21,הַגִּ֣ידוּ וְהַגִּ֔ישׁוּ אַ֥ף יִֽוָּעֲצ֖וּ יַחְדָּ֑ו מִ֣י הִשְׁמִיעַ֩ זֹ֨את מִקֶּ֜דֶם מֵאָ֣ז הִגִּידָ֗הּ הֲל֨וֹא אֲנִ֤י יְהוָה֙ וְאֵֽין ע֤וֹד אֱלֹהִים֙ מִבַּלְעָדַ֔י אֵֽל צַדִּ֣יק וּמוֹשִׁ֔יעַ אַ֖יִן זוּלָתִֽי,"Tell ye, and bring [them] near; yea, let them take counsel together: who hath declared this from ancient time? [who] hath told it from that time? [have] not I the LORD? and [there is] no God else beside me; a just God and a Saviour; [there is] none beside me.","Declare and bring forth; yes, let them take counsel together; who has made this heard from aforetime, declared it long ago? Is it not I, the LORD? And there is no other God besides me, a righteous God and a savior; there is none besides me.",no_edit,"False positive: 'there is no God else beside me' is YHWH speaking about himself, not vocative. Matched via substring 'o God' in 'no God'.",
ISA,58,2,וְאוֹתִ֗י י֥וֹם יוֹם֙ יִדְרֹשׁ֔וּן וְדַ֥עַת דְּרָכַ֖י יֶחְפָּצ֑וּן כְּג֞וֹי אֲשֶׁר צְדָקָ֣ה עָשָׂ֗ה וּמִשְׁפַּ֤ט אֱלֹהָיו֙ לֹ֣א עָזָ֔ב יִשְׁאָל֨וּנִי֙ מִשְׁפְּטֵי צֶ֔דֶק קִרְבַ֥ת אֱלֹהִ֖ים יֶחְפָּצֽוּן,"Yet they seek me daily, and delight to know my ways, as a nation that did righteousness, and forsook not the ordinance of their God: they ask of me the ordinances of justice; they take delight in approaching to God.","And continually they seek me, and delight to know my ways, as a nation that has done justice and has not forsaken the judgment of their God; they ask of me righteous judgments, they delight in the approaching of God.",no_edit,"False positive: describes the nation's relationship 'to God' in the 3rd person, not direct address. Matched via substring 'o God' in 'to God'.",
ISA,63,16,כִּֽי אַתָּ֣ה אָבִ֔ינוּ כִּ֤י אַבְרָהָם֙ לֹ֣א יְדָעָ֔נוּ וְיִשְׂרָאֵ֖ל לֹ֣א יַכִּירָ֑נוּ אַתָּ֤ה יְהוָה֙ אָבִ֔ינוּ גֹּאֲלֵ֥נוּ מֵֽעוֹלָ֖ם שְׁמֶֽךָ,"Doubtless thou [art] our father, though Abraham be ignorant of us, and Israel acknowledge us not: thou, O LORD, [art] our father, our redeemer; thy name [is] from everlasting.","For you are our father, for Abraham does not know us, nor does Israel recognize us; you, the LORD, are our father, our redeemer from of old is your name.",no_edit,"GOI's 'you, the LORD, are our father' is a correct apposition (title set off by commas between two 2nd-person references), grammatically equivalent to 'you, John, are my friend' — not a 3rd-person/2nd-person mismatch, no edit needed despite lacking literal 'O'.",
ISA,63,17,לָ֣מָּה תַתְעֵ֤נוּ יְהוָה֙ מִדְּרָכֶ֔יךָ תַּקְשִׁ֥יחַ לִבֵּ֖נוּ מִיִּרְאָתֶ֑ךָ שׁ֚וּב לְמַ֣עַן עֲבָדֶ֔יךָ שִׁבְטֵ֖י נַחֲלָתֶֽךָ,"O LORD, why hast thou made us to err from thy ways, [and] hardened our heart from thy fear? Return for thy servants’ sake, the tribes of thine inheritance.","Why do you make us wander from your ways, hardening our heart from your fear? Return for the sake of your servants, the tribes of your inheritance.",edit,"Genuine vocative lament ('O LORD, why hast thou made us to err...'). GOI drops the divine address/name entirely, jumping straight to 'Why do you make us wander...' — the title itself is missing, not just the 'O' (same omission pattern as 1Sa 23:11).","O LORD, why do you make us wander from your ways, hardening our heart from your fear? Return for the sake of your servants, the tribes of your inheritance."
ISA,64,4,וּמֵעוֹלָ֥ם לֹא שָׁמְע֖וּ לֹ֣א הֶאֱזִ֑ינוּ עַ֣יִן לֹֽא רָאָ֗תָה אֱלֹהִים֙ זוּלָ֣תְךָ֔ יַעֲשֶׂ֖ה לִמְחַכֵּה לֽוֹ,"For since the beginning of the world [men] have not heard, nor perceived by the ear, neither hath the eye seen, O God, beside thee, [what] he hath prepared for him that waiteth for him.","From ancient times no one has heard, no one has paid attention, no eye has seen a god besides you who acts on behalf of those who wait for him.",no_edit,"Not a real vocative: WLC embeds a 2nd-person pronoun ('beside you') inside a 3rd-person relative description ('eye has not seen a God besides you who acts for him who waits'); KJV's 'O God' is a translator's interjection, not present in WLC as an address marker. GOI's 'a god besides you' correctly matches WLC's construction.",
JDG,4,23,וַיַּכְנַ֤ע אֱלֹהִים֙ בַּיּ֣וֹם הַה֔וּא אֵ֖ת יָבִ֣ין מֶֽלֶךְ כְּנָ֑עַן לִפְנֵ֖י בְּנֵ֥י יִשְׂרָאֵֽל,So God subdued on that day Jabin the king of Canaan before the children of Israel.,On that day God subdued Jabin king of Canaan before the children of Israel.,no_edit,"False positive: 'So God subdued Jabin' is 3rd-person narration, not address. Matched only via substring 'o God' in 'So God'.",
JDG,6,22,וַיַּ֣רְא גִּדְע֔וֹן כִּֽי מַלְאַ֥ךְ יְהוָ֖ה ה֑וּא וַיֹּ֣אמֶר גִּדְע֗וֹן אֲהָהּ֙ אֲדֹנָ֣י יְהוִ֔ה כִּֽי עַל כֵּ֤ן רָאִ֨יתִי֙ מַלְאַ֣ךְ יְהוָ֔ה פָּנִ֖ים אֶל פָּנִֽים,"And when Gideon perceived that he [was] an angel of the LORD, Gideon said, Alas, O Lord GOD! for because I have seen an angel of the LORD face to face.","Gideon saw that he was the angel of the LORD, and Gideon said, Ah, Lord GOD, for indeed I have seen the angel of the LORD face to face.",no_edit,"GOI renders WLC's interjection-vocative as 'Ah, Lord GOD,' — a valid address form (interjection + name), consistent with GOI's convention elsewhere (cf. Amos 7:5). No 'funny' reading.",
JDG,9,29,וּמִ֨י יִתֵּ֜ן אֶת הָעָ֤ם הַזֶּה֙ בְּיָדִ֔י וְאָסִ֖ירָה אֶת אֲבִימֶ֑לֶךְ וַיֹּ֨אמֶר֙ לַאֲבִימֶ֔לֶךְ רַבֶּ֥ה צְבָאֲךָ֖ וָצֵֽאָה,"And would to God this people were under my hand! then would I remove Abimelech. And he said to Abimelech, Increase thine army, and come out.","Who will put this folk into my hand, that I may seize Abimelech? And he said to Abimelech, ""Great is your host, go out!""",no_edit,"False positive: KJV's 'would to God' is an English idiom ('would that'), with no divine-name word in WLC at that point ('who would give' idiom) — not a vocative. GOI's 'Who will put...' is a correct idiom-neutral rendering.",
JDG,13,5,כִּי֩ הִנָּ֨ךְ הָרָ֜ה וְיֹלַ֣דְתְּ בֵּ֗ן וּמוֹרָה֙ לֹא יַעֲלֶ֣ה עַל רֹאשׁ֔וֹ כִּֽי נְזִ֧יר אֱלֹהִ֛ים יִהְיֶ֥ה הַנַּ֖עַר מִן הַבָּ֑טֶן וְה֗וּא יָחֵ֛ל לְהוֹשִׁ֥יעַ אֶת יִשְׂרָאֵ֖ל מִיַּ֥ד פְּלִשְׁתִּֽים,"For, lo, thou shalt conceive, and bear a son; and no rasor shall come on his head: for the child shall be a Nazarite unto God from the womb: and he shall begin to deliver Israel out of the hand of the Philistines.","For behold, you are with child and shall bear a son, and no razor shall come upon his head, for the boy shall be a separate one of God from the womb; and he shall begin to deliver Israel from the hand of the Philistines.",no_edit,"False positive: 'a Nazarite unto God' is 3rd-person description of the child's status, not address to God. Matched via substring 'to God'.",
JDG,16,17,וַיַּגֶּד לָ֣הּ אֶת כָּל לִבּ֗וֹ וַיֹּ֤אמֶר לָהּ֙ מוֹרָה֙ לֹֽא עָלָ֣ה עַל רֹאשִׁ֔י כִּֽי נְזִ֧יר אֱלֹהִ֛ים אֲנִ֖י מִבֶּ֣טֶן אִמִּ֑י אִם גֻּלַּ֨חְתִּי֙ וְסָ֣ר מִמֶּ֣נִּי כֹחִ֔י וְחָלִ֥יתִי וְהָיִ֖יתִי כְּכָל הָאָדָֽם,"That he told her all his heart, and said unto her, There hath not come a rasor upon mine head; for I [have been] a Nazarite unto God from my mother’s womb: if I be shaven, then my strength will go from me, and I shall become weak, and be like any [other] man.","He told her all his heart and said to her, ""A razor has not come upon my head, for I am a Nazarite of God from my mother's womb; if I am shaved, my strength will leave me and I will grow weak and be like any other man.""",no_edit,"Same as Jdg 13:5 — 'a Nazarite unto God' is 3rd-person description, not address. Matched via substring 'to God'.",
JER,5,3,יְהֹוָ֗ה עֵינֶיךָ֮ הֲל֣וֹא לֶאֱמוּנָה֒ הִכִּ֤יתָה אֹתָם֙ וְֽלֹא חָ֔לוּ כִּלִּיתָ֕ם מֵאֲנ֖וּ קַ֣חַת מוּסָ֑ר חִזְּק֤וּ פְנֵיהֶם֙ מִסֶּ֔לַע מֵאֲנ֖וּ לָשֽׁוּב,"O LORD, [are] not thine eyes upon the truth? thou hast stricken them, but they have not grieved; thou hast consumed them, [but] they have refused to receive correction: they have made their faces harder than a rock; they have refused to return.","Jehovah, are not thine eyes upon faithfulness? thou hast smitten them, yet they have not weakened; thou hast consumed them, they refuse to receive correction; they have made their faces harder than a rock, they have refused to return.",no_edit,"GOI renders WLC's vocative as bare-name address ('Jehovah, are not thine eyes upon faithfulness?'), consistent with GOI's convention, with correct 2nd-person ('thou hast smitten/consumed') throughout. No edit needed.",
JER,10,24,יַסְּרֵ֥נִי יְהוָ֖ה אַךְ בְּמִשְׁפָּ֑ט אַל בְּאַפְּךָ֖ פֶּן תַּמְעִטֵֽנִי,"O LORD, correct me, but with judgment; not in thine anger, lest thou bring me to nothing.","Jehovah, correct me, but only in justice; do not in your anger, lest you diminish me.",no_edit,"GOI renders WLC's vocative as bare-name address ('Jehovah, correct me...'), consistent with convention, correct 2nd person. No edit needed.",
JER,11,5,לְמַעַן֩ הָקִ֨ים אֶת הַשְּׁבוּעָ֜ה אֲשֶׁר נִשְׁבַּ֣עְתִּי לַאֲבֽוֹתֵיכֶ֗ם לָתֵ֤ת לָהֶם֙ אֶ֣רֶץ זָבַ֥ת חָלָ֛ב וּדְבַ֖שׁ כַּיּ֣וֹם הַזֶּ֑ה וָאַ֥עַן וָאֹמַ֖ר אָמֵ֥ן יְהוָֽה,"That I may perform the oath which I have sworn unto your fathers, to give them a land flowing with milk and honey, as [it is] this day. Then answered I, and said, So be it, O LORD.","To confirm the oath that I swore to your ancestors, to give them a land flowing with milk and honey, as this day; and I answered and said, Amen: the LORD.",edit,"Genuine vocative closing exclamation ('So be it, O LORD' / 'Amen, O LORD'). GOI renders it as a flat description 'Amen: the LORD' — the definite article makes it read like a label rather than the address KJV/WLC intend.","To confirm the oath that I swore to your ancestors, to give them a land flowing with milk and honey, as this day; and I answered and said, Amen, O LORD."
JER,11,20,וַֽיהוָ֤ה צְבָאוֹת֙ שֹׁפֵ֣ט צֶ֔דֶק בֹּחֵ֥ן כְּלָי֖וֹת וָלֵ֑ב אֶרְאֶ֤ה נִקְמָֽתְךָ֙ מֵהֶ֔ם כִּ֥י אֵלֶ֖יךָ גִּלִּ֥יתִי אֶת רִיבִֽי,"But, O LORD of hosts, that judgest righteously, that triest the reins and the heart, let me see thy vengeance on them: for unto thee have I revealed my cause.","And the LORD of hosts judges righteously, testing kidneys and heart; I will see your vengeance upon them, for to you I have revealed my cause.",edit,"Genuine vocative prayer ('O LORD of hosts, that judgest righteously...', 2nd person 'thee' throughout WLC/KJV). GOI opens 3rd person ('the LORD of hosts judges righteously') then switches to 2nd person ('your vengeance', 'to you') for the same referent — person mismatch, same bug pattern as Jer 20:12/2Ch 20:6.","But O LORD of hosts, who judges righteously, testing kidneys and heart, let me see your vengeance upon them, for to you I have revealed my cause."
JER,15,16,נִמְצְא֤וּ דְבָרֶ֨יךָ֙ וָאֹ֣כְלֵ֔ם וַיְהִ֤י דבריך לִ֔י לְשָׂשׂ֖וֹן וּלְשִׂמְחַ֣ת לְבָבִ֑י כִּֽי נִקְרָ֤א שִׁמְךָ֙ עָלַ֔י יְהוָ֖ה אֱלֹהֵ֥י צְבָאֽוֹת,"Thy words were found, and I did eat them; and thy word was unto me the joy and rejoicing of mine heart: for I am called by thy name, O LORD God of hosts.","Your words were found and I ate them, and they became to me joy and rejoicing of heart, because your name is called upon me, the LORD of hosts.",edit,Genuine vocative closing appositive ('O LORD God of hosts'). GOI drops 'God' and renders it as a flat 3rd-person label ('the LORD of hosts') at the very end instead of the address KJV/WLC intend.,"Your words were found and I ate them, and they became to me joy and rejoicing of heart, because your name is called upon me, O LORD God of hosts."
JER,16,19,יְהוָ֞ה עֻזִּ֧י וּמָעֻזִּ֛י וּמְנוּסִ֖י בְּי֣וֹם צָרָ֑ה אֵלֶ֗יךָ גּוֹיִ֤ם יָבֹ֨אוּ֙ מֵֽאַפְסֵי אָ֔רֶץ וְיֹאמְר֗וּ אַךְ שֶׁ֨קֶר֙ נָחֲל֣וּ אֲבוֹתֵ֔ינוּ הֶ֖בֶל וְאֵֽין בָּ֥ם מוֹעִֽיל,"O LORD, my strength, and my fortress, and my refuge in the day of affliction, the Gentiles shall come unto thee from the ends of the earth, and shall say, Surely our fathers have inherited lies, vanity, and [things] wherein [there is] no profit.","The LORD is my strength, my stronghold, and my refuge in the day of distress; to You nations shall come from the ends of the earth and say, ""Only falsehood have our fathers inherited, vanity, and there is no benefit in them.""",edit,"Genuine vocative prayer ('O LORD, my strength, and my fortress...'). GOI opens with a 3rd-person copula clause ('The LORD is my strength...') then switches to 2nd person ('to You nations shall come') for the same referent — person mismatch, same bug pattern as row 49/55.","O LORD, my strength, and my stronghold, and my refuge in the day of distress, to You nations shall come from the ends of the earth and say, ""Only falsehood have our fathers inherited, vanity, and there is no benefit in them."""
JER,16,20,הֲיַעֲשֶׂה לּ֥וֹ אָדָ֖ם אֱלֹהִ֑ים וְהֵ֖מָּה לֹ֥א אֱלֹהִֽים,"Shall a man make gods unto himself, and they [are] no gods?","Will [a] man [of low degree] make God [of] himself, yet they [are] not God [at all]?",no_edit,"Out of scope / false positive for this task: matched via substring 'o gods' in 'no gods', not a vocative-address case. The bracketed '[a] man [of low degree]... God [of] himself... God [at all]' is a separate unresolved-translation-note artifact unrelated to O-vocative insertion — worth flagging separately, not fixed here.",
JER,17,13,מִקְוֵ֤ה יִשְׂרָאֵל֙ יְהוָ֔ה כָּל עֹזְבֶ֖יךָ יֵבֹ֑שׁוּ יסורי בָּאָ֣רֶץ יִכָּתֵ֔בוּ כִּ֥י עָזְב֛וּ מְק֥וֹר מַֽיִם חַיִּ֖ים אֶת יְהוָֽה,"O LORD, the hope of Israel, all that forsake thee shall be ashamed, [and] they that depart from me shall be written in the earth, because they have forsaken the LORD, the fountain of living waters.","The hope of Israel, the LORD, all those that forsake you shall be ashamed, they shall be written in the earth, because they have forsaken the fountain of living waters, even the LORD.",no_edit,"GOI reorders WLC's vocative into a mid-sentence apposition ('The hope of Israel, the LORD, all those that forsake you...') but keeps consistent 2nd person ('forsake you') — functions correctly as address, no 'funny' reading despite lacking literal 'O'.",
JER,20,12,וַיהוָ֤ה צְבָאוֹת֙ בֹּחֵ֣ן צַדִּ֔יק רֹאֶ֥ה כְלָי֖וֹת וָלֵ֑ב אֶרְאֶ֤ה נִקְמָֽתְךָ֙ מֵהֶ֔ם כִּ֥י אֵלֶ֖יךָ גִּלִּ֥יתִי אֶת רִיבִֽי,"But, O LORD of hosts, that triest the righteous, [and] seest the reins and the heart, let me see thy vengeance on them: for unto thee have I opened my cause.","And the LORD of hosts, who tests the righteous, sees the kidneys and the heart: I will see your vengeance upon them, for to you I have revealed my cause.",edit,"Twin construction to Jer 11:20 (row 49): genuine vocative prayer, but GOI opens 3rd person ('the LORD of hosts, who tests... sees...') then switches to 2nd person ('your vengeance', 'to you') for the same referent — person mismatch.","But O LORD of hosts, who tests the righteous and sees the kidneys and the heart, let me see your vengeance upon them, for to you I have revealed my cause."
JER,32,25,וְאַתָּ֞ה אָמַ֤רְתָּ אֵלַי֙ אֲדֹנָ֣י יְהוִ֔ה קְנֵֽה לְךָ֧ הַשָּׂדֶ֛ה בַּכֶּ֖סֶף וְהָעֵ֣ד עֵדִ֑ים וְהָעִ֥יר נִתְּנָ֖ה בְּיַ֥ד הַכַּשְׂדִּֽים,"And thou hast said unto me, O Lord GOD, Buy thee the field for money, and take witnesses; for the city is given into the hand of the Chaldeans.","And you said to me, (my) Lord God, Buy for yourself the field with silver and take witnesses as witnesses, and the city has been given into the hand of the Chaldeans.",edit,"Genuine vocative ('O Lord GOD, Buy thee the field...'). GOI contains a literal, unresolved '(my)' placeholder artifact before 'Lord God' — same recurring bug as Deut 3:24, Amos 7:5, Isa 38:16.","And you said to me, My Lord God, Buy for yourself the field with silver and take witnesses as witnesses, and the city has been given into the hand of the Chaldeans."
JER,51,62,וְאָמַרְתָּ֗ יְהוָה֙ אַתָּ֨ה דִבַּ֜רְתָּ אֶל הַמָּק֤וֹם הַזֶּה֙ לְהַכְרִית֔וֹ לְבִלְתִּ֤י הֱיֽוֹת בּוֹ֙ יוֹשֵׁ֔ב לְמֵאָדָ֖ם וְעַד בְּהֵמָ֑ה כִּֽי שִׁמְמ֥וֹת עוֹלָ֖ם תִּֽהְיֶֽה,"Then shalt thou say, O LORD, thou hast spoken against this place, to cut it off, that none shall remain in it, neither man nor beast, but that it shall be desolate for ever.","And you shall say, Jehovah, the Lord, You said concerning this place, to destroy it, so that there should be no inhabitant in it, neither man nor beast, for it shall be desolate wastes forever.",edit,"Genuine vocative ('O LORD, thou hast spoken against this place...'). GOI renders the name twice, redundantly, as 'Jehovah, the Lord' — an artifact of two competing renderings (transliteration + translation) left merged in the text, reading awkwardly.","And you shall say, Jehovah, You said concerning this place, to destroy it, so that there should be no inhabitant in it, neither man nor beast, for it shall be desolate forever."
JOB,8,5,אִם אַ֭תָּה תְּשַׁחֵ֣ר אֶל אֵ֑ל וְאֶל שַׁ֝דַּ֗י תִּתְחַנָּֽן,"If thou wouldest seek unto God betimes, and make thy supplication to the Almighty;","If you seek God and entreat the Almighty,",no_edit,"False positive: 'seek unto God' is Bildad's 3rd-person advice about seeking God, not a direct address. Matched via substring 'to God'.",
JOB,33,26,יֶעְתַּ֤ר אֶל אֱל֨וֹהַּ וַיִּרְצֵ֗הוּ וַיַּ֣רְא פָּ֭נָיו בִּתְרוּעָ֑ה וַיָּ֥שֶׁב לֶ֝אֱנ֗וֹשׁ צִדְקָתֽוֹ,"He shall pray unto God, and he will be favourable unto him: and he shall see his face with joy: for he will render unto man his righteousness.","He will entreat God and He will accept him, and he will see His face with shouting, and he will restore to another his righteousness.",no_edit,"False positive: 'pray unto God' is Elihu's 3rd-person description of a repentant man's action, not address. Matched via substring 'to God'.",
JON,2,6,לְקִצְבֵ֤י הָרִים֙ יָרַ֔דְתִּי הָאָ֛רֶץ בְּרִחֶ֥יהָ בַעֲדִ֖י לְעוֹלָ֑ם וַתַּ֧עַל מִשַּׁ֛חַת חַיַּ֖י יְהוָ֥ה אֱלֹהָֽי,"I went down to the bottoms of the mountains; the earth with her bars [was] about me for ever: yet hast thou brought up my life from corruption, O LORD my God.","To the bottoms of the mountains I descended; the earth with its bars was against me forever, but You, LORD my God, brought up my life from the pit.",no_edit,"GOI already renders WLC's vocative as a comma-set-off address ('but You, LORD my God, brought up my life...') with consistent 2nd person. No 'funny' reading, no edit needed.",
JOS,7,7,וַיֹּ֨אמֶר יְהוֹשֻׁ֜עַ אֲהָ֣הּ אֲדֹנָ֣י יְהוִ֗ה לָ֠מָה הֵעֲבַ֨רְתָּ הַעֲבִ֜יר אֶת הָעָ֤ם הַזֶּה֙ אֶת הַיַּרְדֵּ֔ן לָתֵ֥ת אֹתָ֛נוּ בְּיַ֥ד הָאֱמֹרִ֖י לְהַאֲבִידֵ֑נוּ וְלוּ֙ הוֹאַ֣לְנוּ וַנֵּ֔שֶׁב בְּעֵ֖בֶר הַיַּרְדֵּֽן,"And Joshua said, Alas, O Lord GOD, wherefore hast thou at all brought this people over Jordan, to deliver us into the hand of the Amorites, to destroy us? would to God we had been content, and dwelt on the other side Jordan!","And Joshua said, ""Ah, Lord God, why have You brought this people across the Jordan to deliver us into the hand of the Amorite to destroy us? Would that we had been willing and remained beyond the Jordan!""",no_edit,"GOI renders WLC's vocative as bare-name address ('Ah, Lord God, why have You brought...'), consistent with convention, correct 2nd person throughout. No edit needed.",
JOS,7,8,בִּ֖י אֲדֹנָ֑י מָ֣ה אֹמַ֔ר אַ֠חֲרֵי אֲשֶׁ֨ר הָפַ֧ךְ יִשְׂרָאֵ֛ל עֹ֖רֶף לִפְנֵ֥י אֹיְבָֽיו,"O Lord, what shall I say, when Israel turneth their backs before their enemies!","By me, my Lord, what shall I say, after Israel has turned back before their enemies?",no_edit,"GOI renders WLC's vocative as bare-name address ('By me, my Lord, what shall I say...'). Consistent with convention.",
LAM,3,41,נִשָּׂ֤א לְבָבֵ֨נוּ֙ אֶל כַּפָּ֔יִם אֶל אֵ֖ל בַּשָּׁמָֽיִם,Let us lift up our heart with [our] hands unto God in the heavens.,We lift up our heart to the hand toward God in the heavens.,no_edit,"Not a vocative: 'unto God in the heavens' is the congregation's 3rd-person corporate description of lifting their hearts, not direct address. Matched via substring 'to God'.",
LAM,3,55,קָרָ֤אתִי שִׁמְךָ֙ יְהוָ֔ה מִבּ֖וֹר תַּחְתִּיּֽוֹת,"I called upon thy name, O LORD, out of the low dungeon.","I called your name, the LORD, from the lowest cistern.",no_edit,"GOI's 'I called your name, the LORD, from the lowest cistern' has the 2nd-person possessive 'your' immediately preceding the title — a valid pronoun-then-apposition construction (cf. Psa 31:14), not a flat 3rd-person description. No 'funny' reading.",
NEH,1,5,וָאֹמַ֗ר אָֽנָּ֤א יְהוָה֙ אֱלֹהֵ֣י הַשָּׁמַ֔יִם הָאֵ֥ל הַגָּד֖וֹל וְהַנּוֹרָ֑א שֹׁמֵ֤ר הַבְּרִית֙ וָחֶ֔סֶד לְאֹהֲבָ֖יו וּלְשֹׁמְרֵ֥י מִצְוֺתָֽיו,"And said, I beseech thee, O LORD God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:","And I said, ""Please, the LORD God of the heavens, the great and awesome God, keeping the covenant and steadfast love for those who love Him and keep His commandments.""",edit,"Genuine vocative prayer ('I beseech thee, O LORD God of heaven...'). GOI's 'Please, the LORD God of the heavens...' retains the definite article with no adjacent 2nd-person pronoun, reading as description rather than address — should match GOI's own convention one verse later (Neh 1:11: 'Please, my Lord...').","And I said, ""Please, LORD God of the heavens, the great and awesome God, keeping the covenant and steadfast love for those who love Him and keep His commandments."""
NEH,1,11,אָנָּ֣א אֲדֹנָ֗י תְּהִ֣י נָ֣א אָזְנְךָֽ קַ֠שֶּׁבֶת אֶל תְּפִלַּ֨ת עַבְדְּךָ֜ וְאֶל תְּפִלַּ֣ת עֲבָדֶ֗יךָ הַֽחֲפֵצִים֙ לְיִרְאָ֣ה אֶת שְׁמֶ֔ךָ וְהַצְלִֽיחָה נָּ֤א לְעַבְדְּךָ֙ הַיּ֔וֹם וּתְנֵ֣הוּ לְרַחֲמִ֔ים לִפְנֵ֖י הָאִ֣ישׁ הַזֶּ֑ה וַאֲנִ֛י הָיִ֥יתִי מַשְׁקֶ֖ה לַמֶּֽלֶךְ,"O Lord, I beseech thee, let now thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and grant him mercy in the sight of this man. For I was the king’s cupbearer.","Please, my Lord, let your ear be attentive to the prayer of your servant and to the prayer of your servants who delight to fear your name; and grant success to your servant today, and grant him mercy in the sight of this man. Now I was cupbearer to the king.",no_edit,"GOI renders WLC's vocative as bare-name address ('Please, my Lord, let your ear be attentive...'), consistent with convention, correct 2nd person throughout. No edit needed.",
